ara-url,ara-title,eng-title,eng-url
042a-dalilah-and-her-daughter-zainab.html,حكاية أحمد الدنف وحسن شومان مع الدليلة المحتالة وبنتها زينب النصابة,Dalilah and her daughter Zainab,042e-dalilah-and-her-daughter-zainab.html
043a-king-badr-basim.html,حكاية زواج الملك بدر باسم بن شهرمان ببنت الملك السمندل,King Badr Basim,043e-king-badr-basim.html
044a-saiful-mulook-wa-badeeyatul-jamaal.html,حكاية سيف الملوك وبديعة الجمال,Saiful mulook and badeeyatul Jamaal,044e-saiful-mulook-wa-badeeyatul-jamaal.html
045a-hasan-saaigh-al-basari.html,حكاية حسن الصائغ البصري,Al Hasan saaigh al basari,045e-hasan-saaigh-al-basari.html
046a-masrur-and-zayn-mawasif.html,حكاية مسرور التاجر مع معشوقته زين المواصف,Zayn Masrur and zayn mawasif,046e-masrur-and-zayn-mawasif.html
047a-ali-nuruddeen-and-girdle-girl.html,حكاية علي نور الدين مع مريم الزنارية,Ali nuruddeen -and girdle Girl,047e-ali-nuruddeen-and-girdle-girl.html
048a-ruined-man-of-baghdad-and-his-slave-girl.html,حكاية الشاب البغدادي مع جاريته التي اشتراها,Ruined man of Baghdad and his slave girl,048e-ruined-man-of-baghdad-and-his-slave-girl.html
049a-wird-khan-bin-jaliad.html,حكاية ورد خان بن الملك جليعاد,Wird khan bin Jaliad,049e-wird-khan-bin-jaliad.html
050a-abu-qair-wa-abu-swayr.html,حكاية أبي قير وأبي صير,Abu qair and abu Swayr,050e-abu-qair-wa-abu-swayr.html
051a-abdullah-albarri-with-abdullah-albahri.html,حكاية عبد الله البري مع عبد الله البحري,Abdullah al-bahri and Abdullah al-barri,051e-abdullah-albarri-with-abdullah-albahri.html
052a-haroon-ar-rasheed-with-merchant-of-oman.html,من نوادر هارون الرشيد مع الشاب العماني,Haroon ar Rasheed with Merchant of Oman,052e-haroon-ar-rasheed-with-merchant-of-oman.html
053a-ibrahim-bin-khaseeb-with-jameela.html,حكاية إبراهيم بن الخصيب مع جميلة بنت أبي الليث عامل البصرة,Ibrahim bin Khaseeb with Jameela,053e-ibrahim-bin-khaseeb-with-jameela.html
054a-abu-alhasan-khurasaani.html,حكاية أبي الحسن الخراساني الصيرفي مع شجرة الدر,abul Hasan al Khurasaani,054e-abu-alhasan-khurasaani.html
055a-qamr-az-zamaan-with-his-lover.html,حكاية قمر الزمان مع معشوقته,Qamr az Zaman wit his Lover,055e-qamr-az-zamaan-with-his-lover.html
056a-abdullah-bin-faadhil.html,حكاية عبد الله بن فاضل عامل البصرة مع أخويه,Abdullah bin faadhil,056e-abdullah-bin-faadhil.html
057a-maaruf-al-iskaafi.html,حكاية معروف أل إسكافي,Maaruf al Iskaafi,057e-maaruf-al-iskaafi.html
